DESAFIO-HYPERATIVA           20240831LOTE0001000010
C2     4456897999999999  
C1     4456897922969999  
C3     4456897999999999  
C4     4456897998199999  
C5     4456897999999999124
C6     4456897912999999  
C7     445689799999998   
C8     4456897919999999  
C9     4456897999099999  
C10    4456897919999999  
LOTE0001000010

PROCESSAMENTO-LOTE02         20240801LOTE0002000001
C1     1234567890123456    
LOTE0002000001

PROCESSAMENTO-LOTE03         20240802LOTE0003000002
C1     9876543210987654    
C2     6549873216549873    
LOTE0003000002

PROCESSAMENTO-LOTE04         20240803LOTE0004000003
C1     1111222233334444    
C2     4444333322221111    
C3     2222111133334444    
LOTE0004000003

PROCESSAMENTO-LOTE05         20240804LOTE0005000004
C1     5555666677778888    
C2     8888777766665555    
C3     7777666655554444    
C4     3333444455556666    
LOTE0005000004

PROCESSAMENTO-LOTE06         20240805LOTE0006000005
C1     9999000011112222    
C2     2222111100009999    
C3     1111222233334444    
C4     4444333322221111    
C5     5555666677778888    
LOTE0006000005

PROCESSAMENTO-LOTE07         20240806LOTE0007000006
C1     2222333344445555    
C2     5555444433332222    
C3     4444333355556666    
C4     1111222233334444    
C5     4444333322221111    
C6     9999000011112222    
LOTE0007000006

PROCESSAMENTO-LOTE08         20240901LOTE0008005000
C1     1000000000000001
C2     1000000000000002
C3     1000000000000003
C4     1000000000000004
C5     1000000000000005
C6     1000000000000006
C7     1000000000000007
C8     1000000000000008
C9     1000000000000009
C10    1000000000000010
C11    1000000000000011
C12    1000000000000012
C13    1000000000000013
C14    1000000000000014
C15    1000000000000015
C16    1000000000000016
C17    1000000000000017
C18    1000000000000018
C19    1000000000000019
C20    1000000000000020
C21    1000000000000021
C22    1000000000000022
C23    1000000000000023
C24    1000000000000024
C25    1000000000000025
C26    1000000000000026
C27    1000000000000027
C28    1000000000000028
C29    1000000000000029
C30    1000000000000030
C31    1000000000000031
C32    1000000000000032
C33    1000000000000033
C34    1000000000000034
C35    1000000000000035
C36    1000000000000036
C37    1000000000000037
C38    1000000000000038
C39    1000000000000039
C40    1000000000000040
C41    1000000000000041
C42    1000000000000042
C43    1000000000000043
C44    1000000000000044
C45    1000000000000045
C46    1000000000000046
C47    1000000000000047
C48    1000000000000048
C49    1000000000000049
C50    1000000000000050
C51    1000000000000051
C52    1000000000000052
C53    1000000000000053
C54    1000000000000054
C55    1000000000000055
C56    1000000000000056
C57    1000000000000057
C58    1000000000000058
C59    1000000000000059
C60    1000000000000060
C61    1000000000000061
C62    1000000000000062
C63    1000000000000063
C64    1000000000000064
C65    1000000000000065
C66    1000000000000066
C67    1000000000000067
C68    1000000000000068
C69    1000000000000069
C70    1000000000000070
C71    1000000000000071
C72    1000000000000072
C73    1000000000000073
C74    1000000000000074
C75    1000000000000075
C76    1000000000000076
C77    1000000000000077
C78    1000000000000078
C79    1000000000000079
C80    1000000000000080
C81    1000000000000081
C82    1000000000000082
C83    1000000000000083
C84    1000000000000084
C85    1000000000000085
C86    1000000000000086
C87    1000000000000087
C88    1000000000000088
C89    1000000000000089
C90    1000000000000090
C91    1000000000000091
C92    1000000000000092
C93    1000000000000093
C94    1000000000000094
C95    1000000000000095
C96    1000000000000096
C97    1000000000000097
C98    1000000000000098
C99    1000000000000099
C100   1000000000000100
C101   1000000000000101
C102   1000000000000102
C103   1000000000000103
C104   1000000000000104
C105   1000000000000105
C106   1000000000000106
C107   1000000000000107
C108   1000000000000108
C109   1000000000000109
C110   1000000000000110
C111   1000000000000111
C112   1000000000000112
C113   1000000000000113
C114   1000000000000114
C115   1000000000000115
C116   1000000000000116
C117   1000000000000117
C118   1000000000000118
C119   1000000000000119
C120   1000000000000120
C121   1000000000000121
C122   1000000000000122
C123   1000000000000123
C124   1000000000000124
C125   1000000000000125
C126   1000000000000126
C127   1000000000000127
C128   1000000000000128
C129   1000000000000129
C130   1000000000000130
C131   1000000000000131
C132   1000000000000132
C133   1000000000000133
C134   1000000000000134
C135   1000000000000135
C136   1000000000000136
C137   1000000000000137
C138   1000000000000138
C139   1000000000000139
C140   1000000000000140
C141   1000000000000141
C142   1000000000000142
C143   1000000000000143
C144   1000000000000144
C145   1000000000000145
C146   1000000000000146
C147   1000000000000147
C148   1000000000000148
C149   1000000000000149
C150   1000000000000150
C151   1000000000000151
C152   1000000000000152
C153   1000000000000153
C154   1000000000000154
C155   1000000000000155
C156   1000000000000156
C157   1000000000000157
C158   1000000000000158
C159   1000000000000159
C160   1000000000000160
C161   1000000000000161
C162   1000000000000162
C163   1000000000000163
C164   1000000000000164
C165   1000000000000165
C166   1000000000000166
C167   1000000000000167
C168   1000000000000168
C169   1000000000000169
C170   1000000000000170
C171   1000000000000171
C172   1000000000000172
C173   1000000000000173
C174   1000000000000174
C175   1000000000000175
C176   1000000000000176
C177   1000000000000177
C178   1000000000000178
C179   1000000000000179
C180   1000000000000180
C181   1000000000000181
C182   1000000000000182
C183   1000000000000183
C184   1000000000000184
C185   1000000000000185
C186   1000000000000186
C187   1000000000000187
C188   1000000000000188
C189   1000000000000189
C190   1000000000000190
C191   1000000000000191
C192   1000000000000192
C193   1000000000000193
C194   1000000000000194
C195   1000000000000195
C196   1000000000000196
C197   1000000000000197
C198   1000000000000198
C199   1000000000000199
C200   1000000000000200
C201   1000000000000201
C202   1000000000000202
C203   1000000000000203
C204   1000000000000204
C205   1000000000000205
C206   1000000000000206
C207   1000000000000207
C208   1000000000000208
C209   1000000000000209
C210   1000000000000210
C211   1000000000000211
C212   1000000000000212
C213   1000000000000213
C214   1000000000000214
C215   1000000000000215
C216   1000000000000216
C217   1000000000000217
C218   1000000000000218
C219   1000000000000219
C220   1000000000000220
C221   1000000000000221
C222   1000000000000222
C223   1000000000000223
C224   1000000000000224
C225   1000000000000225
C226   1000000000000226
C227   1000000000000227
C228   1000000000000228
C229   1000000000000229
C230   1000000000000230
C231   1000000000000231
C232   1000000000000232
C233   1000000000000233
C234   1000000000000234
C235   1000000000000235
C236   1000000000000236
C237   1000000000000237
C238   1000000000000238
C239   1000000000000239
C240   1000000000000240
C241   1000000000000241
C242   1000000000000242
C243   1000000000000243
C244   1000000000000244
C245   1000000000000245
C246   1000000000000246
C247   1000000000000247
C248   1000000000000248
C249   1000000000000249
C250   1000000000000250
C251   1000000000000251
C252   1000000000000252
C253   1000000000000253
C254   1000000000000254
C255   1000000000000255
C256   1000000000000256
C257   1000000000000257
C258   1000000000000258
C259   1000000000000259
C260   1000000000000260
C261   1000000000000261
C262   1000000000000262
C263   1000000000000263
C264   1000000000000264
C265   1000000000000265
C266   1000000000000266
C267   1000000000000267
C268   1000000000000268
C269   1000000000000269
C270   1000000000000270
C271   1000000000000271
C272   1000000000000272
C273   1000000000000273
C274   1000000000000274
C275   1000000000000275
C276   1000000000000276
C277   1000000000000277
C278   1000000000000278
C279   1000000000000279
C280   1000000000000280
C281   1000000000000281
C282   1000000000000282
C283   1000000000000283
C284   1000000000000284
C285   1000000000000285
C286   1000000000000286
C287   1000000000000287
C288   1000000000000288
C289   1000000000000289
C290   1000000000000290
C291   1000000000000291
C292   1000000000000292
C293   1000000000000293
C294   1000000000000294
C295   1000000000000295
C296   1000000000000296
C297   1000000000000297
C298   1000000000000298
C299   1000000000000299
C300   1000000000000300
C301   1000000000000301
C302   1000000000000302
C303   1000000000000303
C304   1000000000000304
C305   1000000000000305
C306   1000000000000306
C307   1000000000000307
C308   1000000000000308
C309   1000000000000309
C310   1000000000000310
C311   1000000000000311
C312   1000000000000312
C313   1000000000000313
C314   1000000000000314
C315   1000000000000315
C316   1000000000000316
C317   1000000000000317
C318   1000000000000318
C319   1000000000000319
C320   1000000000000320
C321   1000000000000321
C322   1000000000000322
C323   1000000000000323
C324   1000000000000324
C325   1000000000000325
C326   1000000000000326
C327   1000000000000327
C328   1000000000000328
C329   1000000000000329
C330   1000000000000330
C331   1000000000000331
C332   1000000000000332
C333   1000000000000333
C334   1000000000000334
C335   1000000000000335
C336   1000000000000336
C337   1000000000000337
C338   1000000000000338
C339   1000000000000339
C340   1000000000000340
C341   1000000000000341
C342   1000000000000342
C343   1000000000000343
C344   1000000000000344
C345   1000000000000345
C346   1000000000000346
C347   1000000000000347
C348   1000000000000348
C349   1000000000000349
C350   1000000000000350
C351   1000000000000351
C352   1000000000000352
C353   1000000000000353
C354   1000000000000354
C355   1000000000000355
C356   1000000000000356
C357   1000000000000357
C358   1000000000000358
C359   1000000000000359
C360   1000000000000360
C361   1000000000000361
C362   1000000000000362
C363   1000000000000363
C364   1000000000000364
C365   1000000000000365
C366   1000000000000366
C367   1000000000000367
C368   1000000000000368
C369   1000000000000369
C370   1000000000000370
C371   1000000000000371
C372   1000000000000372
C373   1000000000000373
C374   1000000000000374
C375   1000000000000375
C376   1000000000000376
C377   1000000000000377
C378   1000000000000378
C379   1000000000000379
C380   1000000000000380
C381   1000000000000381
C382   1000000000000382
C383   1000000000000383
C384   1000000000000384
C385   1000000000000385
C386   1000000000000386
C387   1000000000000387
C388   1000000000000388
C389   1000000000000389
C390   1000000000000390
C391   1000000000000391
